1	what are bigos?	0	bigos --> dish type of dish --> [u'Stew']	0	bigos --> dish cuisine --> [u'Polish food']	0
1421	what document did thomas jefferson wrote?	2333	thomas jefferson --> author works written --> [u'The Papers of Thomas Jefferson, Volume 17: July 1790 to November 1790', u'The Papers of Thomas Jefferson, Volume 18: 4 November 1790 to 24 January 1791', u'The papers of Thomas Jefferson. Index', u'Speech of Thomas Jefferson, president of the United States', u"Jefferson's literary commonplace book"]	0	thomas jefferson --> author works written --> [u'The Papers of Thomas Jefferson, Volume 17: July 1790 to November 1790', u'The Papers of Thomas Jefferson, Volume 18: 4 November 1790 to 24 January 1791', u'The papers of Thomas Jefferson. Index', u'Speech of Thomas Jefferson, president of the United States', u"Jefferson's literary commonplace book"]	0
1422	what is there to see in sydney australia?	28408	sydney --> location contains --> [u'University of Sydney', u'Hillsong International Leadership College', u'Bedford College', u'St Leonards', u'Sydney College of Divinity']	59	sydney --> location contains --> [u'University of Sydney', u'Hillsong International Leadership College', u'Bedford College', u'St Leonards', u'Sydney College of Divinity']	59
1423	what countries are involved in the nafta?	192	north american free trade agreement --> organization membership member --> [u'United States of America', u'Mexico', u'Canada']	37	koch industries --> mailing address citytown --> [u'Wichita']	2
1424	what is los angeles california time zone?	71266	los angeles --> location time zones --> [u'Pacific Time Zone']	11	los angeles --> location time zones --> [u'Pacific Time Zone']	11
1425	what are some of the traditions of islam?	5024	islam --> religion practices --> [u'Salat al-Janazah', u'Hajj', u'Islamic marital jurisprudence', u'Jihad', u'Zak\u0101t']	35	islam --> religion beliefs --> [u'Sharia', u'Mahdi', u'God in Islam', u'Monotheism', u'Prophets in Islam']	79
1426	what year was lebron james rookie season?	1131	lebron james --> sports award season --> [u'2012\u201313 NBA season', u'2003\u201304 NBA season', u'2005\u201306 NBA season', u'2007\u201308 NBA season', u'2008\u201309 NBA season']	0	lebron james --> sports award season --> [u'2012\u201313 NBA season', u'2003\u201304 NBA season', u'2005\u201306 NBA season', u'2007\u201308 NBA season', u'2008\u201309 NBA season']	0
1427	what are the mountains in northern spain?	14135	spain --> location partially contains --> [u'Pyrenees', u'Pic del Port Vell', u'Bay of Biscay', u'Tagus', u'Pic du Bala\xeftous']	151	galicia --> location contains --> [u'Vilagarc\xeda de Arousa', u'Province of Pontevedra', u'A Coru\xf1a', u'Ourense', u'Santiago de Compostela']	160
1428	what continent is cayman islands located?	166	cayman islands --> location containedby --> [u'North America', u'Greater Antilles', u'Americas', u'United Kingdom, with Dependencies and Territories']	8	cayman islands --> location containedby --> [u'North America', u'Greater Antilles', u'Americas', u'United Kingdom, with Dependencies and Territories']	8
1429	what was benedict arnold most famous for?	144	benedict arnold --> dishonoured person dishonor bestowed --> [u'Traitor']	0	benedict arnold --> dishonoured person dishonor bestowed --> [u'Traitor']	0
1430	what university did romney graduated from?	911	mitt romney --> education institution --> [u'Harvard University', u'Stanford University', u'Brigham Young University', u'Harvard Business School', u'Harvard Law School']	4	mitt romney --> education institution --> [u'Harvard University', u'Stanford University', u'Brigham Young University', u'Harvard Business School', u'Harvard Law School']	4
1431	where did the russian japanese war happen?	210	russo-japanese war --> event locations --> [u'Manchuria', u'Korean Peninsula', u'Yellow Sea']	47	russo-japanese war --> event locations --> [u'Manchuria', u'Korean Peninsula', u'Yellow Sea']	47
1432	what disease did patrick swayze died from?	110	patrick swayze --> deceased person cause of death --> [u'Pancreatic cancer']	0	patrick swayze --> deceased person cause of death --> [u'Pancreatic cancer']	0
1433	what basketball teams has shaq played for?	1609	shaquille oneal --> sports team roster team --> [u'Boston Celtics', u'Los Angeles Lakers', u'Orlando Magic', u'Miami Heat', u"LSU Tigers men's basketball"]	96	shaquille oneal --> basketball historical roster position team --> [u'Boston Celtics', u'Los Angeles Lakers', u'Orlando Magic', u'Miami Heat', u"LSU Tigers men's basketball"]	96
1434	who is in the american league in baseball?	1428	american league --> baseball league teams --> [u'Chicago White Sox', u'Cleveland Indians', u'Kansas City Royals', u'Minnesota Twins', u'Oakland Athletics']	256	american league --> sports league participation team --> [u'Chicago White Sox', u'Cleveland Indians', u'Kansas City Royals', u'Minnesota Twins', u'Kansas City Athletics']	224
1435	what type of guitar does johnny depp play?	1620	johnny depp --> restaurant choice restaurant --> [u'Gene & Georgetti', u'Cipriani restaurant', u"Gibson's", u'Brasserie Lipp']	0	guitar --> instrument variation --> [u'Bass guitar', u'classical guitar', u'Electric guitar', u'Acoustic guitar', u'resonator guitar']	161
1436	what is the percentage of youth in uganda?	20991	abayudaya --> person nationality --> [u'Uganda']	2	uganda --> location partially contains --> [u'Mount Sabyinyo', u'Mount Elgon', u'Mount Muhabura', u'Mount Gahinga', u'Virunga Mountains']	21
1437	what country sponsored ferdinand magellan?	161	ferdinand magellan --> person nationality --> [u'Portugal', u'Kingdom of Portugal']	24	ferdinand magellan --> deceased person place of death --> [u'Mactan']	5
1438	who will plaxico burress play for in 2011?	63	plaxico burress --> football historical roster position team --> [u'New York Jets', u'New York Giants', u'Pittsburgh Steelers']	7	plaxico burress --> football historical roster position team --> [u'New York Jets', u'New York Giants', u'Pittsburgh Steelers']	7
1439	how many languages do they speak in spain?	11694	spain --> country languages spoken --> [u'Basque Language', u'Catalan language', u'Galician Language', u'Occitan language']	147	spain --> country languages spoken --> [u'Basque Language', u'Catalan language', u'Galician Language', u'Occitan language']	147
1440	what is the name of sonia gandhi daughter?	112	sonia gandhi --> person children --> [u'Priyanka Vadra', u'Rahul Gandhi']	22	sonia gandhi --> marriage spouse --> [u'Rajiv Gandhi']	19
1441	what countries in the world speak chinese?	47394	chinese language --> human language countries spoken in --> [u'China', u'Canada', u'Singapore', u'Vietnam', u'Malaysia']	206	california --> location containedby --> [u'United States of America', u'Contiguous United States']	3728
1442	what is the zip code for wyoming michigan?	117	wyoming --> citytown postal codes --> [u'49519', u'49509']	0	wyoming --> citytown postal codes --> [u'49519', u'49509']	0
1443	what kind of guitar did jerry garcia play?	1105	jerry garcia --> guitarist guitars played --> [u'Gibson Les Paul', u'Fender Stratocaster', u'Gibson SG']	1	guitar --> instrument variation --> [u'Bass guitar', u'classical guitar', u'Electric guitar', u'Acoustic guitar', u'resonator guitar']	161
1444	who or what influenced frank lloyd wright?	263	frank lloyd wright --> influence node influenced by --> [u'Ebenezer Howard', u'Henry David Thoreau', u'Louis Sullivan', u'Bruce Price', u'William Morris']	31	frank lloyd wright --> influence node influenced by --> [u'Ebenezer Howard', u'Henry David Thoreau', u'Louis Sullivan', u'Bruce Price', u'William Morris']	31
1445	what other movies has tom hardy played in?	915	tom hardy --> performance film --> [u'Everest', u'Lethal Dose', u'Sweeney Todd', u'Inception', u'dot the i']	9	tom hardy --> award nomination nominated for --> [u'Inception', u'The Dark Knight Rises', u'Stuart: A Life Backwards', u'Tinker, Tailor, Soldier, Spy', u'Bronson']	32
1446	where was john f kennedy when he got shot?	7961	john f. kennedy --> deceased person place of death --> [u'Dallas']	33	john f. kennedy --> deceased person place of death --> [u'Dallas']	33
1447	what sort of government does nigeria have?	2888	nigeria --> country form of government --> [u'Presidential system', u'Federal republic']	1	nigeria --> country form of government --> [u'Presidential system', u'Federal republic']	1
1448	who played samantha stephens in bewitched?	150	bewitched --> regular tv appearance actor --> [u'Elizabeth Montgomery', u'Maurice Evans', u'Agnes Moorehead', u'Bernard Fox', u'George Tobias']	47	bewitched --> regular tv appearance actor --> [u'Elizabeth Montgomery', u'Maurice Evans', u'Agnes Moorehead', u'Bernard Fox', u'George Tobias']	47
1449	what school did john henry thompson go to?	5	EMPTY	0	sir henry thompson 1st baronet --> education institution --> [u'University of London']	0
1450	what district does nancy pelosi represent?	246	nancy pelosi --> government position held district represented --> [u'California\u2019s 8th congressional district', u'California\u2019s 5th congressional district', u'California\u2019s 12th congressional district']	14	nancy pelosi --> elected government positions held district represented --> [u'California\u2019s 8th congressional district', u'California\u2019s 5th congressional district']	12
1451	what films has scarlett johansson been in?	263	scarlett johansson --> performance film --> [u'Lost in Translation', u'Vicky Cristina Barcelona', u'Manny & Lo', u'Buck', u'Ghost World']	28	scarlett johansson --> award nomination nominated for --> [u'Lost in Translation', u'Vicky Cristina Barcelona', u'Manny & Lo', u'Ghost World', u'Girl with a Pearl Earring']	38
1452	what are the names of ariel's six sisters?	113	ariel --> sibling relationship of fictional characters siblings --> [u'Adella', u'Alana', u'Aquata', u'Attina', u'Andrina']	0	ariel --> namesake named after --> [u'Ariel']	1
1453	what countries do the united nations help?	27235	united nations --> organization membership member --> [u'Belgium', u'Brazil', u'Bulgaria', u'Nepal', u'Croatia']	63	united nations --> military combatant group combatants --> [u'United States of America']	229
1454	what did napoleon bonaparte do as emperor?	776	napoleon bonaparte --> kwtopic has sentences --> [u'Unable to defeat Britain at sea, Napoleon ordered the European states under his control to boycott British goods, a mistake that caused great resentment among the satellite countries.', u'In1808, he refused to help the disgraced American statesman, Aaron Burr, in his plan to conquer Florida with French aid.', u'These victories were, in part, thanks to the development of superior artillery by the French military engineer Gribeauval and the life saving skills of the military surgeon Larrey.', u'In May 1803, the same year that he banished the writer de Stael from Paris, war broke out again with Britain, Austria, Russia, Sweden and Naples.', u"Napoleon wanted to invade Britain, but he couldn't break the British Navy and, in the Battle of Trafalgar, on 21st October 1805, his fleet was destroyed."]	0	napoleon bonaparte --> military command military combatant --> [u'First French Empire']	89
1455	what are some books that mark twain wrote?	292	mark twain --> author works written --> [u"Mark Twain's letters to his publishers, 1867-1894", u"Mark Twain's letters to Mary", u'Jim Smiley & his jumping frog', u'Concerning cats', u'UC JUNIOR ABRIDGED HUCK FINN']	0	mark twain --> film story contributor film story credits --> [u'Barbie: The Princess and the Popstar', u'The War Prayer', u'A Knight in Camelot', u'A Million to Juan', u'Man with a Million']	1
1456	what province is toronto in ( 7 letters )?	18436	toronto --> administrative division capital relationship administrative division --> [u'Ontario']	3674	toronto --> travel destination tourist attractions --> [u'Princess of Wales Theatre', u'Royal Ontario Museum', u'Ontario Place', u'Toronto Eaton Centre', u'Nathan Phillips Square']	43
1457	where does the city of paris get its name?	253506	paris --> namesake named after --> [u'Parisii']	3	city of london --> location contains --> [u'London Guildhall University', u'Bank-Monument station', u'Guildhall School of Music and Drama', u'Guildhall, London', u'Newgate Prison']	24
